,blur,dia,pos
202,50.05824059288049,50,-60
203,51.50159560726674,50,-60
204,50.34554864456766,50,-60
205,50.85102124771372,50,-60
206,53.564604538821285,50,-60
207,50.28889719677868,50,-60
208,51.32319221856147,50,-60
209,50.48487996897667,50,-60
210,53.44366818706884,50,-60
211,51.01353637792165,50,-60
212,50.719892012157295,50,-60
213,53.08761607499204,50,-60
214,53.64822730499117,50,-60
215,50.32485381471172,50,-60
216,51.85362491787521,50,-60
217,53.21138569608202,50,-60
218,53.97081568681665,50,-60
219,52.05166519860819,50,-60
220,53.71145982529026,50,-60
221,55.87792409551435,50,-60
222,56.866975990066074,50,-60
223,52.00489787952827,50,-60
224,50.156847070232935,50,-60
225,57.50855592502572,50,-60
226,54.13160513180529,50,-60
227,51.91966339334137,50,-60
228,54.762160268776086,50,-60
229,53.28629623677671,50,-60
230,52.41586550901941,50,-60
231,51.36795757821549,50,-60
232,49.47105379777027,50,-60
233,50.86985188676965,50,-60
234,53.54296369328945,50,-60
235,53.03057626910085,50,-60
236,50.18834517667581,50,-60
237,51.24786648431811,50,-60
238,52.174990664231274,50,-60
239,52.6493761715558,50,-60
240,50.63792037143131,50,-60
241,51.17300390333282,50,-60
242,49.35737808180417,50,-60
243,52.88589680461589,50,-60
244,54.05432175217881,50,-60
245,52.95118536065885,50,-60
246,52.43351843598814,50,-60
247,51.57892398809081,50,-60
248,52.88495068210412,50,-60
249,56.07786542710449,50,-60
250,56.430357571852895,50,-60
251,56.63901348717302,50,-70
252,56.20885520903788,50,-70
253,52.26911126025291,50,-70
254,52.50022743989911,50,-70
255,54.6590767591526,50,-70
256,54.72377853391671,50,-70
257,56.12304031841978,50,-70
258,50.507381916275335,50,-70
259,51.01178064287808,50,-70
260,56.285822124139855,50,-70
261,50.28321503459425,50,-70
262,50.99677741890816,50,-70
263,51.406222397788426,50,-70
264,49.86484882178716,50,-70
265,53.8440172597614,50,-70
266,51.51268677946162,50,-70
267,51.672342860603436,50,-70
268,50.729422351414705,50,-70
269,50.788490086223675,50,-70
270,50.30929449824589,50,-70
271,52.4485972818663,50,-70
272,51.55818800225643,50,-70
273,49.420112213329745,50,-70
274,50.84857611188123,50,-70
275,50.53822466866619,50,-70
276,50.348870766763476,50,-70
277,51.605479623221896,50,-70
278,50.93405863816987,50,-70
279,51.8923867460103,50,-70
